r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03559,inf,,,,,,,,,,0.0,0.0
0.10676,inf,,,,,,,,,,0.0,0.0
0.17793,inf,,,,,,,,,,0.0,0.0
0.2491,inf,,,,,,,,,,0.0,0.0
0.32027,inf,,,,,,,,,,0.0,0.0
0.39144,inf,,,,,,,,,,0.0,0.0
0.46261,inf,,,,,,,,,,0.0,0.0
0.53378,inf,,,,,,,,,,0.0,0.0
0.60495,inf,,,,,,,,,,0.0,0.0
0.67612,inf,,,,,,,,,,0.0,0.0
0.74729,inf,,,,,,,,,,0.0,0.0
0.81846,inf,,,,,,,,,,0.0,0.0
0.88964,inf,,,,,,,,,,0.0,0.0
0.96081,inf,,,,,,,,,,0.0,0.0
1.03198,inf,,,,,,,,,,0.0,0.0
1.10315,inf,,,,,,,,,,0.0,0.0
1.17432,inf,,,,,,,,,,0.0,0.0
1.24549,inf,,,,,,,,,,0.0,0.0
1.31666,inf,,,,,,,,,,0.0,0.0
1.38783,inf,,,,,,,,,,0.0,0.0
1.459,inf,,,,,,,,,,0.0,0.0
1.53017,inf,,,,,,,,,,0.0,0.0
1.60134,inf,,,,,,,,,,0.0,0.0
1.67251,inf,,,,,,,,,,0.0,0.0
1.74368,inf,,,,,,,,,,0.0,0.0
1.81486,inf,,,,,,,,,,0.0,0.0
1.88603,inf,,,,,,,,,,0.0,0.0
1.9572,inf,,,,,,,,,,0.0,0.0
2.02837,inf,,,,,,,,,,0.0,0.0
2.09954,inf,,,,,,,,,,0.0,0.0
2.17071,inf,,,,,,,,,,0.0,0.0
2.24188,inf,,,,,,,,,,0.0,0.0
2.31305,inf,,,,,,,,,,0.0,0.0
2.38422,inf,,,,,,,,,,0.0,0.0
2.45539,inf,,,,,,,,,,0.0,0.0
2.52656,inf,,,,,,,,,,0.0,0.0
2.59773,inf,,,,,,,,,,0.0,0.0
2.66891,inf,,,,,,,,,,0.0,0.0
2.74008,inf,,,,,,,,,,0.0,0.0
2.81125,inf,,,,,,,,,,0.0,0.0
2.88242,inf,,,,,,,,,,0.0,0.0
2.95359,inf,,,,,,,,,,0.0,0.0
3.02476,inf,,,,,,,,,,0.0,0.0
3.09593,3.60877,0.35224,-100.79675925925926,2.684837081464255,104.40552925925925,2.707844746584541,-104.21872592592592,2.6050133204191206,3.4219666666666666,0.6498120916422259,0.0,0.0
3.1671,2.72374,0.14405,-102.46243095238094,0.7706744762541219,105.18617095238095,0.7840213969335054,-104.9463238095238,0.7091917105864103,2.4838928571428576,0.3016392978129447,0.0,0.0
3.23827,1.50337,0.05152,-100.9113082125604,0.3104124757654811,102.4146782125604,0.3146588875446797,-102.57306125603866,0.28804953870612,1.6617530434782608,0.1156865089889348,0.0,0.0
3.30944,0.83572,0.0299,-99.57244300688829,0.17989497486796097,100.40816300688829,0.18236285801320484,-100.70561820904463,0.16924302591433849,1.1331752021563344,0.0609836056830265,0.0,0.0
3.38061,0.2333,0.01874,-98.79941536466437,0.10108711749579788,99.03271536466437,0.10280949821689261,-99.40616727876335,0.09667562367539875,0.606751914098973,0.0295369109857806,0.0,0.0
3.45178,-0.19912,0.01342,-97.78263097018502,0.07033202153903083,97.58351097018503,0.07160090539767425,-97.94374706164318,0.06791297651676925,0.1611160914581535,0.0182871778686446,0.0,0.0
3.52296,-0.41822,0.00991,-96.48367652237476,0.0565062782486819,96.06545652237476,0.05736869862143869,-96.24702603610474,0.05490234624113778,-0.2366504862700228,0.0133675674202783,0.0,0.0
3.59413,-0.5973,0.00973,-95.130042970936,0.04868247934261623,94.532742970936,0.04964530889161891,-94.68810708547703,0.047223439854841426,-0.4419358854589764,0.0118292232720678,0.0,0.0
3.6653,-0.62652,0.00937,-93.68763204302408,0.047293770877800165,93.06111204302408,0.04821304454026793,-93.07430196127008,0.04588806478468818,-0.6133300817539948,0.0114449235103656,0.0,0.0
3.73647,-0.64323,0.00878,-92.18349456906047,0.047190050270213155,91.54026456906047,0.04799988796346555,-91.49526653915262,0.04585225468252587,-0.688228029907842,0.0111566834244783,0.0,0.0
3.80764,-0.6442,0.00837,-90.62228807361598,0.04761664590377212,89.97808807361598,0.04834668413785188,-89.90220579048042,0.046305143725711644,-0.7200822831355508,0.0110985869220548,0.0,0.0
3.87881,-0.64404,0.00769,-89.08350260321554,0.048297328199356344,88.43946260321553,0.04890570530312738,-88.37673328320264,0.04693835816944267,-0.7067693200128907,0.0113763985317611,0.0,0.0
3.94998,-0.64313,0.00784,-87.74761720000691,0.04772176216623062,87.10448720000691,0.04836147417366721,-87.05977551648428,0.046463432544106315,-0.6878416835226389,0.0108865063482075,0.0,0.0
4.02115,-0.62217,0.00855,-86.46256380809182,0.04770167275844101,85.84039380809182,0.04846186215936603,-85.7841273949638,0.046458890865502575,-0.6784364131280137,0.0108176265188217,0.0,0.0
4.09232,-0.59752,0.00873,-85.22555825242719,0.047886943719980285,84.62803825242719,0.04867619827842514,-84.52146119636706,0.046840768174227373,-0.7040970560601315,0.0099549894871289,0.0,0.0
4.16349,-0.56927,0.00855,-84.0043635897436,0.047655697141421594,83.4350935897436,0.048416608411111346,-83.2498746603225,0.0468326450278528,-0.7544889294210944,0.0088186637156676,0.0,0.0
4.23466,-0.50067,0.00862,-82.65067286714894,0.049533812653938615,82.15000286714894,0.05027825569802009,-81.82246852681136,0.048936142315831294,-0.8282043403375816,0.0076715429530307,0.0,0.0
4.30583,-0.41237,0.00798,-81.27017389931025,0.05105322444939544,80.85780389931026,0.05167312770367542,-80.36475802230387,0.05058085723782577,-0.9054158770063816,0.0069288244145047,0.0,0.0
4.377,-0.34181,0.00929,-79.73270465715558,0.053771333329327105,79.39089465715558,0.05456794286037915,-78.76031526225783,0.05341736910977191,-0.972389394897744,0.0061596238037716,0.0,0.0
4.44818,-0.26728,0.00918,-78.33282360853909,0.05277524796714979,78.06554360853909,0.053567706671035935,-77.34777946502057,0.05242217510182133,-0.9850441435185184,0.0060944528538772,0.0,0.0
4.51935,-0.20084,0.00976,-76.91684835354803,0.05419647168830643,76.71600835354803,0.05506827710634681,-75.92589312142758,0.05380352848629386,-0.9909552321204516,0.0065144351931664,0.0,0.0
4.59052,-0.15823,0.00933,-75.54319438926643,0.05766956904901202,75.38496438926643,0.05841941538819748,-74.56145084509497,0.05731655069534417,-0.9817435441714584,0.0063712016674099,0.0,0.0
4.66169,-0.13816,0.00907,-74.11304543468763,0.06003069534489588,73.97488543468764,0.06071201926794812,-73.15644994320664,0.05964952293321138,-0.956595491480996,0.0067541688927649,0.0,0.0
4.73286,-0.11162,0.01021,-72.85438455558511,0.060848070035111015,72.74276455558511,0.06169871738535392,-71.90260762022997,0.06052973666339751,-0.9517769353551476,0.006215996014922,0.0,0.0
4.80403,-0.10903,0.01056,-71.66079265116814,0.06139608900195626,71.55176265116813,0.062297619093639005,-70.7455523867139,0.061018383404394486,-0.915240264454239,0.006799752308022,0.0,0.0
4.8752,-0.10842,0.00986,-70.6577128728678,0.061274453370475164,70.54929287286781,0.06206269600855683,-69.76875973447608,0.06091479250270525,-0.8889531383917318,0.0066292299856695,0.0,0.0
4.94637,-0.1315,0.00955,-69.40618090490396,0.06139510119175698,69.27468090490396,0.06213341251167587,-68.52365327890303,0.06112049431494578,-0.8825276260009421,0.0058003124952678,0.0,0.0
5.01754,-0.14502,0.00925,-68.45680666120056,0.05924455501845596,68.31178666120056,0.05996231982949672,-67.62315154044921,0.05890668747776035,-0.8336551207513417,0.0063181856361085,0.0,0.0
5.08871,-0.17481,0.00932,-67.55342375272895,0.057634891769381226,67.37861375272895,0.058383586300160495,-66.72876666896472,0.05734175007847805,-0.8246570837642192,0.0058055531352017,0.0,0.0
5.15988,-0.18821,0.00916,-66.46709786778521,0.056302287986746725,66.27888786778522,0.05704255632895991,-65.65589248044742,0.056034395492785244,-0.81120538733779,0.0054858139141511,0.0,0.0
5.23105,-0.20029,0.00864,-65.54736280256635,0.056111077521690915,65.34707280256636,0.056772375506448626,-64.75182648835563,0.05588364506647254,-0.7955363142107237,0.0050469034793353,0.0,0.0
5.30223,-0.23173,0.00802,-64.61773675376364,0.0529989861656461,64.38600675376364,0.05360235941249551,-63.831392005537296,0.052777999857864716,-0.7863447482263367,0.0048347973679958,0.0,0.0
5.3734,-0.22911,0.0089,-63.79043267144281,0.05125472547612093,63.56132267144281,0.0520216962779235,-63.017562964216545,0.051043324677963735,-0.772869707226265,0.0046503644429763,0.0,0.0
5.44457,-0.24741,0.00795,-62.866205062774135,0.04942038061248108,62.61879506277413,0.050055734135885925,-62.11006350931401,0.04922077125539449,-0.7561415534601247,0.0044373073937499,0.0,0.0
5.51574,-0.2359,0.00838,-61.91840254144621,0.04875849137681574,61.68250254144621,0.04947337547957502,-61.1885804303351,0.04854294690452196,-0.7298221111111112,0.0045796055690176,0.0,0.0
5.58691,-0.25309,0.00704,-61.216585428461684,0.04650479010326537,60.963495428461684,0.04703463726392252,-60.52951636187518,0.046295481704818134,-0.6870690665865024,0.0044072526893313,0.0,0.0
5.65808,-0.24404,0.00719,-60.26236104497355,0.045212498437826806,60.018321044973554,0.04578063034723846,-59.597272830687835,0.045013425469925684,-0.6650882142857142,0.004238105998431,0.0,0.0
