r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03557,inf,,,,,,,,,,0.0,0.0
0.10671,inf,,,,,,,,,,0.0,0.0
0.17786,inf,,,,,,,,,,0.0,0.0
0.249,inf,,,,,,,,,,0.0,0.0
0.32014,inf,,,,,,,,,,0.0,0.0
0.39129,inf,,,,,,,,,,0.0,0.0
0.46243,inf,,,,,,,,,,0.0,0.0
0.53357,inf,,,,,,,,,,0.0,0.0
0.60472,inf,,,,,,,,,,0.0,0.0
0.67586,inf,,,,,,,,,,0.0,0.0
0.747,inf,,,,,,,,,,0.0,0.0
0.81815,inf,,,,,,,,,,0.0,0.0
0.88929,inf,,,,,,,,,,0.0,0.0
0.96043,inf,,,,,,,,,,0.0,0.0
1.03158,inf,,,,,,,,,,0.0,0.0
1.10272,inf,,,,,,,,,,0.0,0.0
1.17386,inf,,,,,,,,,,0.0,0.0
1.24501,inf,,,,,,,,,,0.0,0.0
1.31615,inf,,,,,,,,,,0.0,0.0
1.38729,inf,,,,,,,,,,0.0,0.0
1.45843,inf,,,,,,,,,,0.0,0.0
1.52958,inf,,,,,,,,,,0.0,0.0
1.60072,inf,,,,,,,,,,0.0,0.0
1.67186,inf,,,,,,,,,,0.0,0.0
1.74301,inf,,,,,,,,,,0.0,0.0
1.81415,inf,,,,,,,,,,0.0,0.0
1.88529,inf,,,,,,,,,,0.0,0.0
1.95644,inf,,,,,,,,,,0.0,0.0
2.02758,inf,,,,,,,,,,0.0,0.0
2.09872,inf,,,,,,,,,,0.0,0.0
2.16987,inf,,,,,,,,,,0.0,0.0
2.24101,inf,,,,,,,,,,0.0,0.0
2.31215,inf,,,,,,,,,,0.0,0.0
2.3833,inf,,,,,,,,,,0.0,0.0
2.45444,inf,,,,,,,,,,0.0,0.0
2.52558,inf,,,,,,,,,,0.0,0.0
2.59673,inf,,,,,,,,,,0.0,0.0
2.66787,inf,,,,,,,,,,0.0,0.0
2.73901,inf,,,,,,,,,,0.0,0.0
2.81016,inf,,,,,,,,,,0.0,0.0
2.8813,inf,,,,,,,,,,0.0,0.0
2.95244,inf,,,,,,,,,,0.0,0.0
3.02358,inf,,,,,,,,,,0.0,0.0
3.09473,inf,,,,,,,,,,0.0,0.0
3.16587,inf,,,,,,,,,,0.0,0.0
3.23701,inf,,,,,,,,,,0.0,0.0
3.30816,inf,,,,,,,,,,0.0,0.0
3.3793,inf,,,,,,,,,,0.0,0.0
3.45044,3.73759,0.33104,-79.44016666666666,2.571256021685413,83.17775666666665,2.592478545842472,-79.16853333333333,2.538640487467466,-0.2716333333333333,0.4082425803911744,0.0,0.0
3.52159,2.39862,0.10814,-77.46587962962964,0.6944901333888837,79.86449962962963,0.7028590221193076,-76.4298962962963,0.675501006553915,-1.0359833333333337,0.1612914613956891,0.0,0.0
3.59273,1.69205,0.05936,-77.23983300970875,0.41114190036907133,78.93188300970874,0.4154049492231543,-75.81225631067962,0.40419532769174027,-1.4275766990291263,0.0752582175663103,0.0,0.0
3.66387,1.10246,0.03376,-76.65264375478928,0.23357200369280776,77.75510375478927,0.23599919175512657,-75.00065961685824,0.22611060908734273,-1.6519841379310347,0.0585651207394289,0.0,0.0
