r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03553,inf,,,,,,,,,,0.0,0.0
0.1066,inf,,,,,,,,,,0.0,0.0
0.17767,inf,,,,,,,,,,0.0,0.0
0.24874,inf,,,,,,,,,,0.0,0.0
0.31981,inf,,,,,,,,,,0.0,0.0
0.39088,inf,,,,,,,,,,0.0,0.0
0.46194,inf,,,,,,,,,,0.0,0.0
0.53301,inf,,,,,,,,,,0.0,0.0
0.60408,inf,,,,,,,,,,0.0,0.0
0.67515,inf,,,,,,,,,,0.0,0.0
0.74622,inf,,,,,,,,,,0.0,0.0
0.81729,inf,,,,,,,,,,0.0,0.0
0.88836,inf,,,,,,,,,,0.0,0.0
0.95942,inf,,,,,,,,,,0.0,0.0
1.03049,inf,,,,,,,,,,0.0,0.0
1.10156,inf,,,,,,,,,,0.0,0.0
1.17263,inf,,,,,,,,,,0.0,0.0
1.2437,inf,,,,,,,,,,0.0,0.0
1.31477,inf,,,,,,,,,,0.0,0.0
1.38583,inf,,,,,,,,,,0.0,0.0
1.4569,inf,,,,,,,,,,0.0,0.0
1.52797,inf,,,,,,,,,,0.0,0.0
1.59904,inf,,,,,,,,,,0.0,0.0
1.67011,inf,,,,,,,,,,0.0,0.0
1.74118,inf,,,,,,,,,,0.0,0.0
1.81224,inf,,,,,,,,,,0.0,0.0
1.88331,inf,,,,,,,,,,0.0,0.0
1.95438,inf,,,,,,,,,,0.0,0.0
2.02545,inf,,,,,,,,,,0.0,0.0
2.09652,inf,,,,,,,,,,0.0,0.0
2.16759,inf,,,,,,,,,,0.0,0.0
2.23865,inf,,,,,,,,,,0.0,0.0
2.30972,inf,,,,,,,,,,0.0,0.0
2.38079,inf,,,,,,,,,,0.0,0.0
2.45186,inf,,,,,,,,,,0.0,0.0
2.52293,inf,,,,,,,,,,0.0,0.0
2.594,inf,,,,,,,,,,0.0,0.0
2.66507,inf,,,,,,,,,,0.0,0.0
