r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.0356,inf,,,,,,,,,,0.0,0.0
0.10681,inf,,,,,,,,,,0.0,0.0
0.17802,inf,,,,,,,,,,0.0,0.0
0.24923,inf,,,,,,,,,,0.0,0.0
0.32044,inf,,,,,,,,,,0.0,0.0
0.39165,inf,,,,,,,,,,0.0,0.0
0.46286,inf,,,,,,,,,,0.0,0.0
0.53407,inf,,,,,,,,,,0.0,0.0
0.60528,inf,,,,,,,,,,0.0,0.0
0.67649,inf,,,,,,,,,,0.0,0.0
0.7477,inf,,,,,,,,,,0.0,0.0
0.81891,inf,,,,,,,,,,0.0,0.0
0.89012,inf,,,,,,,,,,0.0,0.0
0.96133,inf,,,,,,,,,,0.0,0.0
1.03253,inf,,,,,,,,,,0.0,0.0
1.10374,inf,,,,,,,,,,0.0,0.0
1.17495,inf,,,,,,,,,,0.0,0.0
1.24616,inf,,,,,,,,,,0.0,0.0
1.31737,inf,,,,,,,,,,0.0,0.0
1.38858,inf,,,,,,,,,,0.0,0.0
1.45979,inf,,,,,,,,,,0.0,0.0
1.531,inf,,,,,,,,,,0.0,0.0
1.60221,inf,,,,,,,,,,0.0,0.0
1.67342,inf,,,,,,,,,,0.0,0.0
1.74463,inf,,,,,,,,,,0.0,0.0
1.81584,inf,,,,,,,,,,0.0,0.0
1.88705,inf,,,,,,,,,,0.0,0.0
1.95826,inf,,,,,,,,,,0.0,0.0
2.02946,inf,,,,,,,,,,0.0,0.0
2.10067,inf,,,,,,,,,,0.0,0.0
2.17188,inf,,,,,,,,,,0.0,0.0
2.24309,inf,,,,,,,,,,0.0,0.0
2.3143,inf,,,,,,,,,,0.0,0.0
2.38551,inf,,,,,,,,,,0.0,0.0
2.45672,inf,,,,,,,,,,0.0,0.0
2.52793,inf,,,,,,,,,,0.0,0.0
2.59914,inf,,,,,,,,,,0.0,0.0
2.67035,inf,,,,,,,,,,0.0,0.0
2.74156,inf,,,,,,,,,,0.0,0.0
2.81277,inf,,,,,,,,,,0.0,0.0
2.88398,inf,,,,,,,,,,0.0,0.0
2.95518,inf,,,,,,,,,,0.0,0.0
3.02639,inf,,,,,,,,,,0.0,0.0
3.0976,inf,,,,,,,,,,0.0,0.0
3.16881,3.87571,0.41031,-82.9156,1.1312468011004455,86.79131,1.2033593067326114,-85.51245,1.0225499999999954,2.59685,0.4838500000000001,0.0,0.0
3.24002,2.94924,0.17662,-82.91671,1.2502822589097404,85.86595,1.2626956685379274,-85.25837,1.1803834378944642,2.34166,0.4121900853840239,0.0,0.0
3.31123,2.05882,0.08601,-83.6139574468085,0.48572305477679456,85.6727774468085,0.493279440116554,-84.54360212765957,0.4404893205744518,0.9296446808510636,0.204685232495065,0.0,0.0
3.38244,1.25706,0.04227,-83.16918578947369,0.27576424992028936,84.42624578947368,0.278985079232026,-83.92292105263158,0.2615882927978082,0.7537352631578947,0.0872782138063559,0.0,0.0
3.45365,0.74053,0.02387,-82.1320141350211,0.15953657612833627,82.8725441350211,0.1613124174474874,-82.38748544303797,0.1533840729220145,0.2554713080168775,0.0438776172621825,0.0,0.0
3.52486,0.32097,0.02066,-81.54655034895315,0.11691086821742923,81.86752034895315,0.11872230922346946,-81.45340967098704,0.1128301317135276,-0.0931406779661016,0.0306188256610393,0.0,0.0
3.59607,0.11154,0.01778,-80.69136745124412,0.10424675487416787,80.80290745124412,0.10575213615712377,-80.27475010087424,0.1012286100364198,-0.4166173503698722,0.0249028996682975,0.0,0.0
3.66728,-0.02298,0.01435,-80.07152268041237,0.10425341297925272,80.04854268041237,0.1052363844771504,-79.52790845360825,0.1015844093541019,-0.5436142268041236,0.0234388970303825,0.0,0.0
3.73849,-0.14767,0.01175,-79.0839871434311,0.10192800492210355,78.9363171434311,0.10260302474781319,-78.39542740056248,0.0998548985118289,-0.688559742868622,0.0204528098459042,0.0,0.0
3.8097,-0.20879,0.01161,-78.53337663062433,0.10576684129056264,78.32458663062434,0.1064021466728142,-77.86991618416462,0.1036920636253879,-0.6634604464597139,0.020846598228286,0.0,0.0
3.88091,-0.2409,0.01211,-77.71558356687898,0.11040384986851427,77.47468356687898,0.1110660261546682,-77.03468089171974,0.1085642611631649,-0.6809026751592356,0.0200701585416151,0.0,0.0
3.95211,-0.26923,0.01028,-77.21679048594848,0.11132323425936648,76.94756048594849,0.11179687332821873,-76.53116352459017,0.1096010156519118,-0.6856269613583137,0.0195058928028217,0.0,0.0
4.02332,-0.3259,0.01098,-76.7659452631579,0.11127750701928897,76.4400452631579,0.11181790540171957,-76.1206969191271,0.1096249266013442,-0.6452483440308087,0.0191065181568439,0.0,0.0
4.09453,-0.35619,0.00979,-76.64802432305156,0.11400478674324264,76.29183432305156,0.11442436585086341,-76.04985622792559,0.1124337200392067,-0.5981680951259712,0.0188613360745607,0.0,0.0
4.16574,-0.37068,0.00881,-76.49029496003553,0.11488490024475385,76.11961496003553,0.11522220447573048,-75.93657781971581,0.1133138201539398,-0.5537171403197159,0.018934583870992,0.0,0.0
4.23695,-0.39257,0.00958,-76.34934064115822,0.11586580317063966,75.95677064115822,0.11626117470754117,-75.8533042605998,0.1142802782702634,-0.4960363805584281,0.0191024171991027,0.0,0.0
4.30816,-0.41225,0.00875,-76.26598309150707,0.11385823922728938,75.85373309150707,0.11419396279987247,-75.782743915651,0.1124048414885913,-0.483239175856065,0.0181342286812349,0.0,0.0
4.37937,-0.45166,0.00966,-76.55583091068301,0.10953724047637982,76.10417091068301,0.10996236925048614,-76.1200257793345,0.1080636009732901,-0.4358051313485113,0.0179071269573261,0.0,0.0
4.45058,-0.45474,0.00929,-76.40613998650245,0.11075941863977054,75.95139998650245,0.11114833744784468,-75.97690091108487,0.1093248804452029,-0.4292390754175805,0.0177684927065309,0.0,0.0
4.52179,-0.46327,0.00831,-76.2809034310567,0.11062766780130853,75.8176334310567,0.11093933920461521,-75.91289879188145,0.1091898678272271,-0.3680046391752577,0.0177778977111849,0.0,0.0
4.593,-0.48895,0.00799,-76.24852572880849,0.10736013948775402,75.75957572880849,0.10765704645228756,-75.9350066377635,0.1059298597372201,-0.3135190910449992,0.0174660919178526,0.0,0.0
4.66421,-0.48792,0.00849,-75.71021661583151,0.1077842641241205,75.22229661583151,0.10811811916962932,-75.40944746550471,0.1064244547993287,-0.3007691503267973,0.0170670153642578,0.0,0.0
4.73542,-0.47015,0.00783,-75.07251971830985,0.10864185428916517,74.60236971830984,0.10892364942191478,-74.74744318280818,0.1073117506266031,-0.3250765355016698,0.0169481763279105,0.0,0.0
4.80663,-0.45548,0.00808,-74.21062399595493,0.1088786631690428,73.75514399595494,0.1091780641588679,-73.84097908119041,0.1076184422329068,-0.3696449147645189,0.016517693084701,0.0,0.0
4.87784,-0.43421,0.00864,-73.2162684310019,0.11174722151033682,72.7820584310019,0.11208073480879881,-72.7973060200669,0.1105983688937564,-0.4189624109350007,0.0159825627895172,0.0,0.0
4.94904,-0.39244,0.00806,-71.6543026682838,0.11626459594964607,71.26186266828381,0.11654363934309954,-71.10774672528805,0.1152633687421777,-0.5465559429957549,0.0152253767618154,0.0,0.0
5.02025,-0.34976,0.00819,-70.123590310323,0.12039267857087332,69.77383031032299,0.12067092919783795,-69.42845544648512,0.1195640752007726,-0.6951348638378719,0.0141006728510953,0.0,0.0
5.09146,-0.29835,0.00855,-68.17467662860982,0.12397430710248776,67.87632662860982,0.12426878659398725,-67.33836811618536,0.1233196683258274,-0.8363085124244459,0.0127235303886096,0.0,0.0
5.16267,-0.2587,0.00754,-66.52570717653222,0.12176731275691448,66.26700717653222,0.12200053301539394,-65.54364688318492,0.1213058258612685,-0.9820602933473022,0.0105912732074964,0.0,0.0
5.23388,-0.23457,0.00891,-64.92169690320297,0.11854438424021851,64.68712690320297,0.11887875813152057,-63.85402525216776,0.1181911527479302,-1.0676716510352149,0.0091445309889573,0.0,0.0
5.30509,-0.21993,0.00821,-63.813843898993454,0.11460460886446874,63.593913898993456,0.11489830491777443,-62.69909920536817,0.1143458469302732,-1.114744693625287,0.007696990501254,0.0,0.0
5.3763,-0.20446,0.00766,-62.77183916343099,0.11345823202642615,62.56737916343099,0.11371651601487953,-61.65689915284151,0.1132016834222659,-1.114940010589481,0.0076255678429504,0.0,0.0
5.44751,-0.24361,0.00769,-62.3052194015444,0.1100045514963573,62.0616094015444,0.11027301324401508,-61.21848175675675,0.1097668284668596,-1.086737644787645,0.0072280507913091,0.0,0.0
5.51872,-0.26336,0.00809,-62.133051902379876,0.106447315938621,61.86969190237988,0.10675429345247242,-61.08253404577839,0.1062114336760978,-1.0505178566014854,0.007082543822983,0.0,0.0
5.58993,-0.28362,0.00748,-61.6699911764706,0.10413161716988273,61.386371176470604,0.10439992382379891,-60.64962291547688,0.1039105823788775,-1.0203682609937177,0.006781191937818,0.0,0.0
5.66114,-0.29886,0.00813,-61.28903396200813,0.10364037677900748,60.990173962008136,0.10395876393500757,-60.30172647218453,0.103421037300167,-0.9873074898236092,0.0067391945106296,0.0,0.0
5.73235,-0.32239,0.0074,-61.13744410530332,0.10141103616463308,60.81505410530332,0.10168066805437756,-60.18539376828183,0.1012101039156587,-0.9520503370214932,0.0063806834560323,0.0,0.0
5.80356,-0.34079,0.00758,-60.72709049795526,0.09912416689442614,60.38630049795526,0.09941356478124123,-59.78325108251143,0.0989493691219687,-0.9438394154438297,0.0058841153012527,0.0,0.0
5.87477,-0.35219,0.00691,-60.20118163288808,0.09546503993391638,59.84899163288808,0.09571479483122892,-59.28375860202672,0.0952958934883156,-0.9174230308613542,0.0056803638834019,0.0,0.0
5.94597,-0.3528,0.00657,-59.663816475741235,0.09224551917104493,59.31101647574123,0.09247919067085102,-58.75146090521114,0.0920769065406454,-0.9123555705300987,0.005574862244116,0.0,0.0
6.01718,-0.35126,0.00692,-58.729936855415076,0.08842504227095097,58.37867685541507,0.0886954029283337,-57.84136470588236,0.0882612472288349,-0.8885721495327102,0.0053796224988329,0.0,0.0
