r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.0355,inf,,,,,,,,,,0.0,0.0
0.10649,inf,,,,,,,,,,0.0,0.0
0.17749,inf,,,,,,,,,,0.0,0.0
0.24849,inf,,,,,,,,,,0.0,0.0
0.31948,inf,,,,,,,,,,0.0,0.0
0.39048,inf,,,,,,,,,,0.0,0.0
0.46148,inf,,,,,,,,,,0.0,0.0
0.53247,inf,,,,,,,,,,0.0,0.0
0.60347,inf,,,,,,,,,,0.0,0.0
0.67447,inf,,,,,,,,,,0.0,0.0
0.74546,inf,,,,,,,,,,0.0,0.0
0.81646,inf,,,,,,,,,,0.0,0.0
0.88745,inf,,,,,,,,,,0.0,0.0
0.95845,inf,,,,,,,,,,0.0,0.0
1.02945,inf,,,,,,,,,,0.0,0.0
1.10044,inf,,,,,,,,,,0.0,0.0
1.17144,inf,,,,,,,,,,0.0,0.0
1.24244,inf,,,,,,,,,,0.0,0.0
1.31343,inf,,,,,,,,,,0.0,0.0
1.38443,inf,,,,,,,,,,0.0,0.0
1.45542,inf,,,,,,,,,,0.0,0.0
1.52642,inf,,,,,,,,,,0.0,0.0
1.59742,inf,,,,,,,,,,0.0,0.0
1.66841,inf,,,,,,,,,,0.0,0.0
1.73941,inf,,,,,,,,,,0.0,0.0
1.81041,inf,,,,,,,,,,0.0,0.0
1.8814,inf,,,,,,,,,,0.0,0.0
1.9524,inf,,,,,,,,,,0.0,0.0
2.0234,inf,,,,,,,,,,0.0,0.0
2.09439,inf,,,,,,,,,,0.0,0.0
2.16539,inf,,,,,,,,,,0.0,0.0
2.23638,inf,,,,,,,,,,0.0,0.0
2.30738,inf,,,,,,,,,,0.0,0.0
2.37838,inf,,,,,,,,,,0.0,0.0
2.44937,inf,,,,,,,,,,0.0,0.0
2.52037,inf,,,,,,,,,,0.0,0.0
2.59137,inf,,,,,,,,,,0.0,0.0
2.66236,inf,,,,,,,,,,0.0,0.0
2.73336,inf,,,,,,,,,,0.0,0.0
2.80435,inf,,,,,,,,,,0.0,0.0
2.87535,inf,,,,,,,,,,0.0,0.0
2.94635,4.20342,0.5866,-103.4523,,107.65571999999999,,-111.6558,,8.2035,,0.0,0.0
3.01734,4.23161,0.5618,-100.28729999999999,,104.51890999999999,,-104.945,,4.6577,,0.0,0.0
3.08834,3.84881,0.41036,-103.9721,0.23093126683063278,107.82091,0.470876395246142,-107.0651,0.227800000000002,3.093,0.0379,0.0,0.0
