r,pmf,pmf_seom,direct,direct_seom,w_solv,w_solv_seom,elect,elect_seom,vdw,vdw_seom,polar,polar_seom
0.03547,inf,,,,,,,,,,0.0,0.0
0.10642,inf,,,,,,,,,,0.0,0.0
0.17736,inf,,,,,,,,,,0.0,0.0
0.24831,inf,,,,,,,,,,0.0,0.0
0.31926,inf,,,,,,,,,,0.0,0.0
0.3902,inf,,,,,,,,,,0.0,0.0
0.46115,inf,,,,,,,,,,0.0,0.0
0.53209,inf,,,,,,,,,,0.0,0.0
0.60304,inf,,,,,,,,,,0.0,0.0
0.67398,inf,,,,,,,,,,0.0,0.0
0.74493,inf,,,,,,,,,,0.0,0.0
0.81588,inf,,,,,,,,,,0.0,0.0
0.88682,inf,,,,,,,,,,0.0,0.0
0.95777,inf,,,,,,,,,,0.0,0.0
1.02871,inf,,,,,,,,,,0.0,0.0
1.09966,inf,,,,,,,,,,0.0,0.0
1.1706,inf,,,,,,,,,,0.0,0.0
1.24155,inf,,,,,,,,,,0.0,0.0
1.3125,inf,,,,,,,,,,0.0,0.0
1.38344,inf,,,,,,,,,,0.0,0.0
1.45439,inf,,,,,,,,,,0.0,0.0
1.52533,inf,,,,,,,,,,0.0,0.0
1.59628,inf,,,,,,,,,,0.0,0.0
1.66722,inf,,,,,,,,,,0.0,0.0
1.73817,inf,,,,,,,,,,0.0,0.0
1.80912,inf,,,,,,,,,,0.0,0.0
1.88006,inf,,,,,,,,,,0.0,0.0
1.95101,inf,,,,,,,,,,0.0,0.0
2.02195,inf,,,,,,,,,,0.0,0.0
2.0929,inf,,,,,,,,,,0.0,0.0
2.16384,inf,,,,,,,,,,0.0,0.0
2.23479,inf,,,,,,,,,,0.0,0.0
2.30574,inf,,,,,,,,,,0.0,0.0
2.37668,inf,,,,,,,,,,0.0,0.0
2.44763,inf,,,,,,,,,,0.0,0.0
2.51857,inf,,,,,,,,,,0.0,0.0
2.58952,inf,,,,,,,,,,0.0,0.0
2.66046,inf,,,,,,,,,,0.0,0.0
2.73141,inf,,,,,,,,,,0.0,0.0
2.80236,inf,,,,,,,,,,0.0,0.0
2.8733,inf,,,,,,,,,,0.0,0.0
2.94425,inf,,,,,,,,,,0.0,0.0
3.01519,inf,,,,,,,,,,0.0,0.0
3.08614,inf,,,,,,,,,,0.0,0.0
3.15708,inf,,,,,,,,,,0.0,0.0
3.22803,3.01161,0.20039,-92.13520000000003,1.413914780705954,95.14681000000003,1.428044522834903,-96.62512222222225,1.1984941931646491,4.489922222222223,0.7501777629664736,0.0,0.0
3.29898,2.11148,0.09005,-93.44104651162789,0.42333971030929435,95.55252651162789,0.432811174560867,-96.29435116279068,0.3770135051435148,2.8533046511627904,0.1925547383581048,0.0,0.0
3.36992,1.25706,0.0462,-93.03263578947367,0.23206847322308966,94.28969578947367,0.23662251850594415,-94.82239526315789,0.2115357108354689,1.7897594736842106,0.0954380390904422,0.0,0.0
3.44087,0.63657,0.02521,-92.18093168141591,0.13913042264602987,92.81750168141592,0.14139596389452883,-93.51023398230087,0.1256489474820624,1.3293023008849556,0.0597462676852105,0.0,0.0
3.51181,0.1766,0.01747,-91.509648515625,0.09547933095756067,91.686248515625,0.0970644298396864,-92.539721640625,0.0866072492974487,1.030073125,0.0401931214168914,0.0,0.0
3.58276,-0.10453,0.01397,-90.64739425770307,0.07358493132083602,90.54286425770307,0.07489928582765094,-91.46910845004668,0.0666626214004598,0.8217141923436041,0.0311582577419071,0.0,0.0
